Steps,Rewards
50000.0,-0.012559149278684975
50000.0,-0.013686878073252378
50000.0,-0.014696789127573455
50000.0,-0.014072526770187803
50000.0,-0.014904666522449853
50000.0,-0.012884597382544521
50000.0,-0.014709097270798716
50000.0,-0.014343663959992845
50000.0,-0.01401085321341734
50000.0,-0.012733091717366873
50000.0,-0.01458412178299821
50000.0,-0.012858713370850402
50000.0,-0.015125468364290937
50000.0,-0.014225188678740813
50000.0,-0.015763821342792417
50000.0,-0.012782183723969892
50000.0,-0.013860492591985634
50000.0,-0.014336590909341118
50000.0,-0.013277602351760414
50000.0,-0.013706214076573882
50000.0,-0.014631966897892841
50000.0,-0.012737908891107116
50000.0,-0.012507818231309227
50000.0,-0.013240278995972172
50000.0,-0.014817167667074497
50000.0,-0.014196434199639464
50000.0,-0.013544642299477097
50000.0,-0.015150898679048121
50000.0,-0.015447356815533496
50000.0,-0.015655560025639004
