Steps,Rewards
50000.0,-5.953946010259919e-05
50000.0,-0.00010609654444556218
50000.0,-0.00040872322187103104
50000.0,-0.0006153554760874407
50000.0,-0.0005520802022868412
50000.0,-0.00011745784413348976
50000.0,-7.057658288909357e-05
50000.0,-0.0006889234323166946
50000.0,-0.00033132498977372313
50000.0,-0.0004998058221844749
50000.0,-8.222437386745917e-05
50000.0,-6.566094152505852e-05
50000.0,-0.0002393864816377364
50000.0,-0.000710867848633847
50000.0,-0.0027117891925366624
50000.0,-0.00019569137947121886
50000.0,-0.00020151018853661857
50000.0,-0.00031521039926388477
50000.0,-0.0016383211014673084
50000.0,-0.001723094321195978
50000.0,-0.00016881578525317005
50000.0,-0.0004676342903655613
50000.0,-0.0002226346034641253
50000.0,-0.0008569455500377942
50000.0,-0.001303568178783498
50000.0,-0.002873966630242401
50000.0,-0.00018666222787196024
50000.0,-0.00014357582925839007
50000.0,-0.0010439948201027788
50000.0,-0.00027005252429545813
